School,Context,Municipality,Grade
Escola Artística de Música do Conservatório Nacional,Favorável,Lisboa,4.07
Escola Artística do Conservatório de Música Calouste Gulbenkian,Favorável,Braga,3.94
Escola Básica Vasco da Gama,Favorável,Lisboa,3.92
Escola Básica e Secundária da Quinta das Flores,Favorável,Coimbra,3.92
Escola Secundária Infanta D. Maria,Favorável,Coimbra,3.91
Escola Secundária Dr. Mário Sacramento,Favorável,Aveiro,3.89
Escola Secundária Eça de Queirós,Favorável,Póvoa de Varzim,3.87
Escola Artística do Conservatório de Música do Porto,Favorável,Porto,3.81
Escola Básica Grão Vasco,Favorável,Viseu,3.81
Escola Básica e Secundária D. Filipa de Lencastre,Favorável,Lisboa,3.78
Escola Secundária D. Manuel I,Favorável,Beja,3.75
Escola Secundária Quinta das Palmeiras,Favorável,Covilhã,3.7
Escola Básica Francisco Torrinha,Favorável,Porto,3.64
Escola Secundária do Bocage,Favorável,Setúbal,3.63
Escola Secundária Carlos Amarante,Favorável,Braga,3.62
Escola Secundária Alves Martins,Favorável,Viseu,3.62
Escola Básica Frei Bartolomeu dos Mártires,Favorável,Viana do Castelo,3.61
Escola Secundária Dr. Joaquim de Carvalho,Favorável,Figueira da Foz,3.6
Escola Secundária Aurélia de Sousa,Favorável,Porto,3.6
Escola Básica Martim de Freitas,Favorável,Coimbra,3.58
Escola Secundária São Pedro,Favorável,Vila Real,3.58
Escola Secundária da Quinta do Marquês,Favorável,Oeiras,3.55
Escola Básica de Telheiras,Favorável,Lisboa,3.54
Escola Secundária José Gomes Ferreira,Favorável,Lisboa,3.52
Conservatório Nacional de Dança,Favorável,Lisboa,3.52
Escola Básica e Secundária Fernão de Magalhães,Favorável,Chaves,3.5
Escola Básica Professor João de Meira,Favorável,Guimarães,3.5
Escola Secundária Emídio Navarro,Favorável,Almada,3.5
Escola Básica da Abelheira,Favorável,Viana do Castelo,3.5
Escola Básica Afonso de Paiva,Favorável,Castelo Branco,3.49
Escola Básica Eugénio de Castro,Favorável,Coimbra,3.48
Escola Básica Dr. Joaquim R. Peixoto Magalhães,Favorável,Faro,3.48
Escola Secundária Pedro Nunes,Favorável,Lisboa,3.47
Escola Secundária João Silva Correia,Favorável,São João da Madeira,3.46
Escola Básica Infante D. Henrique,Favorável,Viseu,3.46
Escola Básica e Secundária Fontes Pereira de Melo,Favorável,Porto,3.44
Escola Secundária da Mealhada,Favorável,Mealhada,3.44
Escola Secundária João Gonçalves Zarco,Favorável,Matosinhos,3.44
Escola Secundária José Estevão,Favorável,Aveiro,3.42
Escola Secundária Camilo Castelo Branco,Favorável,Vila Real,3.41
Escola Secundária Emídio Navarro,Favorável,Viseu,3.4
Escola Básica e Secundária de Montemor-o-Velho,Favorável,Montemor-o-Velho,3.4
Escola Secundária Raúl Proença,Favorável,Caldas da Rainha,3.4
Escola Básica e Secundária Henrique Sommer,Favorável,Leiria,3.4
Escola Básica de Gueifães,Favorável,Maia,3.39
Escola Básica e Secundária Clara de Resende,Favorável,Porto,3.39
Escola Secundária Almeida Garrett,Favorável,Vila Nova de Gaia,3.37
Escola Básica Professor Doutor Egas Moniz,Favorável,Estarreja,3.37
Escola Secundária de Miraflores,Favorável,Oeiras,3.36
Escola Básica Carlos Gargaté,Favorável,Almada,3.35
Escola Secundária Henrique Medina,Favorável,Esposende,3.35
Escola Secundária Garcia de Orta,Favorável,Porto,3.34
Escola Básica Egas Moniz,Favorável,Guimarães,3.34
Escola Secundária António Damásio,Favorável,Lisboa,3.33
Escola Básica Júlio Brandão,Favorável,Vila Nova de Famalicão,3.32
Escola Básica e Secundária Josefa de Óbidos,Favorável,Lisboa,3.32
Escola Secundária Afonso de Albuquerque,Favorável,Guarda,3.32
Escola Básica Dr. Ruy de Andrade,Favorável,Entroncamento,3.31
Escola Básica Alto dos Moinhos,Favorável,Sintra,3.3
Escola Secundária Dr. Joaquim Gomes Ferreira Alves,Favorável,Vila Nova de Gaia,3.3
Escola Básica da Senhora da Hora,Favorável,Matosinhos,3.29
Escola Básica Soares dos Reis,Favorável,Vila Nova de Gaia,3.29
Escola Secundária Sebastião e Silva,Favorável,Oeiras,3.29
Escola Secundária Augusto Gomes,Favorável,Matosinhos,3.29
Escola Secundária Rocha Peixoto,Favorável,Póvoa de Varzim,3.29
Escola Básica Professor Noronha Feio,Favorável,Oeiras,3.29
Escola Básica Cidade de Castelo Branco,Favorável,Castelo Branco,3.28
Escola Básica Roque Gameiro,Favorável,Amadora,3.28
Escola Secundária Manuel da Fonseca,Favorável,Santiago do Cacém,3.27
Escola Secundária Rainha D. Amélia,Favorável,Lisboa,3.27
Escola Secundária Mouzinho da Silveira,Favorável,Portalegre,3.27
Escola Básica José Saraiva,Favorável,Leiria,3.26
Escola Básica D. Pedro I,Favorável,Vila Nova de Gaia,3.26
Escola Básica e Secundária de Águas Santas,Favorável,Maia,3.26
Escola Secundária da Maia,Favorável,Maia,3.25
Escola Secundária Homem Cristo,Favorável,Aveiro,3.25
Escola Secundária Dr. José Macedo Fragateiro,Favorável,Ovar,3.25
Escola Básica Dr. Flávio Gonçalves,Favorável,Póvoa de Varzim,3.25
Escola Básica João de Barros,Favorável,Figueira da Foz,3.25
Escola Básica Dr. José Domingues dos Santos,Favorável,Matosinhos,3.25
Escola Secundária Nuno Álvares,Favorável,Castelo Branco,3.24
Escola Secundária Sá da Bandeira,Favorável,Santarém,3.24
Escola Básica Fernando Pessoa,Favorável,Santa Maria da Feira,3.23
Escola Básica e Secundária Oliveira Júnior,Favorável,São João da Madeira,3.23
Escola Secundária Adolfo Portela,Favorável,Águeda,3.23
Escola Secundária José Falcão,Favorável,Coimbra,3.23
Escola Básica de Aradas,Favorável,Aveiro,3.22
Escola Secundária D. Maria II,Favorável,Braga,3.22
Escola Secundária do Restelo,Favorável,Lisboa,3.22
Escola Secundária Filipa de Vilhena,Favorável,Porto,3.22
Escola Básica e Secundária Dr. Manuel Laranjeira,Favorável,Espinho,3.21
Escola Básica André Soares,Favorável,Braga,3.21
Escola Secundária Severim de Faria,Favorável,Évora,3.21
Escola Secundária do Castêlo da Maia,Favorável,Maia,3.2
Escola Secundária Gabriel Pereira,Favorável,Évora,3.2
Escola Básica Vasco da Gama,Favorável,Sines,3.2
Escola Básica Gonçalo Mendes da Maia,Favorável,Maia,3.2
Escola Secundária Dr. Ginestal Machado,Favorável,Santarém,3.19
Escola Secundária do Fundão,Favorável,Fundão,3.19
Escola Básica D. Pedro IV,Favorável,Sintra,3.19
Escola Básica D. Dinis,Favorável,Leiria,3.18
Escola Secundária do Entroncamento,Favorável,Entroncamento,3.18
Escola Básica Marquês de Marialva,Favorável,Cantanhede,3.17
Escola Básica e Secundária de Búzio,Favorável,Vale de Cambra,3.17
Escola Básica da Bobadela,Favorável,Loures,3.17
Escola Básica Dr.ª Maria Alice Gouveia,Favorável,Coimbra,3.17
Escola Básica Pêro de Alenquer,Favorável,Alenquer,3.16
Escola Básica e Secundária Artur Gonçalves,Favorável,Torres Novas,3.16
Escola Secundária Prof. José Augusto Lucas,Favorável,Oeiras,3.16
Escola Básica Engº Fernando Pinto de Oliveira,Favorável,Matosinhos,3.15
Escola Secundária Gil Eanes,Favorável,Lagos,3.15
Escola Básica Dr. Pedro Barbosa,Favorável,Viana do Castelo,3.15
Escola Básica Dr. José dos Santos Bessa,Favorável,Montemor-o-Velho,3.15
Escola Básica n.º 2 de Mealhada,Favorável,Mealhada,3.15
Escola Básica e Secundária da Batalha,Favorável,Batalha,3.15
Escola Secundária Marquesa de Alorna,Favorável,Almeirim,3.15
Escola Secundária Emídio Garcia,Favorável,Bragança,3.14
Escola Básica D. João II,Favorável,Santarém,3.14
Escola Básica D. Martinho Castelo Branco,Favorável,Portimão,3.14
Escola Básica Conde de Oeiras,Favorável,Oeiras,3.13
Escola Básica de Santa Clara,Favorável,Évora,3.13
Escola Secundária Madeira Torres,Favorável,Torres Vedras,3.13
Escola Secundária Rainha D. Leonor,Favorável,Lisboa,3.12
Escola Básica Engº Duarte Pacheco,Favorável,Loulé,3.12
Escola Secundária Jorge Peixinho,Favorável,Montijo,3.12
Escola Básica Inês de Castro,Favorável,Coimbra,3.12
Escola Básica de Lamaçães,Favorável,Braga,3.11
Escola Básica Carlos Ribeiro,Favorável,Seixal,3.11
Escola Secundária Diogo de Gouveia,Favorável,Beja,3.11
Escola Secundária Amato Lusitano,Favorável,Castelo Branco,3.11
Escola Básica n.º 2 de Pampilhosa,Favorável,Mealhada,3.11
Escola Básica Dr. António Chora Barroso,Favorável,Torres Novas,3.1
Escola Secundária da Ramada,Favorável,Odivelas,3.1
Escola Básica e Secundária Eng. Dionísio Augusto Cunha,Favorável,Nelas,3.1
Escola Básica Fernando Pessoa,Favorável,Lisboa,3.1
Escola Básica Quinta da Lomba,Favorável,Barreiro,3.1
Escola Secundária do Arco Iris,Favorável,Loures,3.09
Escola Básica da Venda do Pinheiro,Favorável,Mafra,3.09
Escola Básica Alfredo da Silva,Favorável,Sintra,3.09
Escola Básica de Santo António,Favorável,Faro,3.09
Escola Básica de Mafra,Favorável,Mafra,3.09
Escola Secundária de Santa Maria do Olival,Favorável,Tomar,3.09
Escola Básica e Secundária de Vila Nova de Cerveira,Favorável,Vila Nova de Cerveira,3.08
Escola Secundária Camilo Castelo Branco,Favorável,Oeiras,3.07
Escola Básica e Secundária de Carcavelos,Favorável,Cascais,3.07
Escola Básica e Secundária Dr. Jaime Magalhães Lima,Favorável,Aveiro,3.06
Escola Básica D. Martim Fernandes,Favorável,Albufeira,3.06
Escola Básica e Secundária Luís de Camões,Favorável,Constância,3.06
Escola Secundária Dr. José Afonso,Favorável,Seixal,3.06
Escola Básica de Gualtar,Favorável,Braga,3.06
Escola Básica de Corroios,Favorável,Seixal,3.05
Escola Básica Sophia de Mello Breyner,Favorável,Vila Nova de Gaia,3.05
Escola Secundária Dr. António Carvalho Figueiredo,Favorável,Loures,3.05
Escola Básica D. Dinis,Favorável,Loulé,3.05
Escola Secundária Daniel Sampaio,Favorável,Almada,3.05
Escola Secundária Maria Lamas,Favorável,Torres Novas,3.05
Escola Secundária de São Pedro do Sul,Favorável,São Pedro do Sul,3.05
Escola Secundária da Boa Nova,Favorável,Matosinhos,3.05
Escola Básica João Villaret,Favorável,Loures,3.04
Escola Secundária Rainha Santa Isabel,Favorável,Estremoz,3.04
Escola Básica Júlio Dinis,Favorável,Gondomar,3.04
Escola Secundária Alberto Sampaio,Favorável,Braga,3.04
Escola Secundária Conde de Monsaraz,Favorável,Reguengos de Monsaraz,3.03
Escola Secundária de Gafanha da Nazaré,Favorável,Ílhavo,3.03
Escola Secundária Luís de Freitas Branco,Favorável,Oeiras,3.03
Escola Básica D. João II,Favorável,Caldas da Rainha,3.03
Escola Básica Prof. Dr. António Sena Faria de Vasconcelos,Favorável,Castelo Branco,3.02
Escola Secundária de Pombal,Favorável,Pombal,3.02
Escola Secundária Viriato,Favorável,Viseu,3.02
Escola Básica de São João da Madeira,Favorável,São João da Madeira,3.02
Escola Básica e Secundária Dr. João Brito Camacho,Favorável,Almodôvar,3.01
Escola Secundária Engº Acácio Calazans Duarte,Favorável,Marinha Grande,3.01
Escola Básica dos Moinhos da Arroja,Favorável,Odivelas,3.01
Escola Básica e Secundária Amélia Rey Colaço,Favorável,Oeiras,3.01
Escola Básica Maria Veleda,Favorável,Loures,3.01
Escola Básica e Secundária da Cidadela,Favorável,Cascais,3.0
Escola Básica Alexandre Herculano,Favorável,Santarém,3.0
Escola Básica e Secundária de Ourique,Favorável,Ourique,3.0
Escola Básica Luís de Camões,Favorável,Lisboa,2.99
Escola Secundária Fernão Mendes Pinto,Favorável,Almada,2.99
Escola Secundária Padre António Macedo,Favorável,Santiago do Cacém,2.99
Escola Básica El-Rei D. Manuel I,Favorável,Alcochete,2.99
Escola Básica de Santa Iria de Azóia,Favorável,Loures,2.98
Escola Secundária de Estarreja,Favorável,Estarreja,2.97
Escola Básica Pedro Jacques de Magalhães,Favorável,Vila Franca de Xira,2.97
Escola Básica Vasco Santana,Favorável,Odivelas,2.97
Escola Secundária de Fernando Namora,Favorável,Condeixa-a-Nova,2.97
Escola Básica António Bento Franco,Favorável,Mafra,2.96
Escola Básica e Secundária da Bemposta,Favorável,Portimão,2.96
Escola Secundária Dr.ª Maria Cândida,Favorável,Mira,2.96
Escola Básica e Secundária D. Maria II,Favorável,Vila Nova da Barquinha,2.96
Escola Secundária de Castro Verde,Favorável,Castro Verde,2.96
Escola Básica de S. Vicente-Telheiras,Favorável,Lisboa,2.95
Escola Básica Prof. Dr. Aníbal Cavaco Silva,Favorável,Loulé,2.94
Escola Secundária de Senhora da Hora,Favorável,Matosinhos,2.93
Escola Básica de Nogueira,Favorável,Braga,2.93
Escola Básica de Azeitão,Favorável,Setúbal,2.93
Escola Básica Professor Delfim Santos,Favorável,Lisboa,2.93
Escola Secundária de Palmela,Favorável,Palmela,2.93
Escola Secundária Sebastião da Gama,Favorável,Setúbal,2.92
Escola Básica D. António da Costa,Favorável,Almada,2.92
Escola Básica das Piscinas,Favorável,Lisboa,2.92
Escola Básica D. Carlos I,Favorável,Sintra,2.92
Escola Básica e Secundária Ibn Mucana,Favorável,Cascais,2.92
Escola Básica e Secundária de Ourém,Favorável,Ourém,2.91
Escola Básica n.º 2 de Taveiro,Favorável,Coimbra,2.91
Escola Básica Colares,Favorável,Sintra,2.91
Escola Básica e Secundária Martinho Árias,Favorável,Soure,2.91
Escola Secundária Poeta Al Berto,Favorável,Sines,2.91
Escola Básica e Secundária Anselmo de Andrade,Favorável,Almada,2.91
Escola Básica de Cascais,Favorável,Cascais,2.9
Escola Básica e Secundária Dr. Vieira de Carvalho,Favorável,Maia,2.9
Escola Básica e Secundária Prof. Reynaldo dos Santos,Favorável,Vila Franca de Xira,2.9
Escola Secundária Fernando Lopes Graça,Favorável,Cascais,2.9
Escola Secundária António Gedeão,Favorável,Almada,2.9
Escola Básica Almeida Garrett,Favorável,Amadora,2.9
Escola Básica de Santo António,Favorável,Cascais,2.89
Escola Secundária de Caneças,Favorável,Odivelas,2.88
Escola Secundária Stuart de Carvalhais,Favorável,Sintra,2.88
Escola Básica e Secundária Dr. Manuel Fernandes,Favorável,Abrantes,2.88
Escola Básica Professor José Buísel,Favorável,Portimão,2.87
Escola Básica de Bucelas,Favorável,Loures,2.87
Escola Básica Elias Garcia,Favorável,Almada,2.87
Escola Secundária de Pinhal Novo,Favorável,Palmela,2.86
Escola Secundária de Afonso Lopes Vieira,Favorável,Leiria,2.86
Escola Básica e Secundária Gama Barros,Favorável,Sintra,2.85
Escola Secundária D. João II,Favorável,Setúbal,2.85
Escola Básica D. Afonso III,Favorável,Faro,2.85
Escola Básica Navegador Rodrigues Soromenho,Favorável,Sesimbra,2.85
Escola Básica Prof. Alberto Nery Capucho,Favorável,Marinha Grande,2.85
Escola Básica António Gedeão,Favorável,Odivelas,2.83
Escola Secundária João de Barros,Favorável,Seixal,2.83
Escola Básica Vale de Milhaços,Favorável,Seixal,2.83
Escola Secundária do Cartaxo,Favorável,Cartaxo,2.83
Escola Básica Álvaro Velho,Favorável,Barreiro,2.83
Escola Secundária de Mirandela,Favorável,Mirandela,2.83
Escola Secundária de Benavente,Favorável,Benavente,2.83
Escola Secundária Eça de Queirós,Favorável,Lisboa,2.83
Escola Básica de Santa Maria,Favorável,Beja,2.83
Escola Básica D. Manuel I,Favorável,Tavira,2.82
Escola Secundária D. Duarte,Favorável,Coimbra,2.82
Escola Básica Quinta de Marrocos,Favorável,Lisboa,2.82
Escola Básica da Alapraia,Favorável,Cascais,2.82
Escola Básica Padre José Rota,Favorável,Vila Franca de Xira,2.82
Escola Secundária São Lourenço,Favorável,Portalegre,2.82
Escola Secundária Manuel Cargaleiro,Favorável,Seixal,2.82
Escola Secundária Poeta Joaquim Serra,Favorável,Montijo,2.82
Escola Secundária Ferreira Dias,Favorável,Sintra,2.81
Escola Básica e Secundária D. Martinho Vaz de Castelo Branco,Favorável,Vila Franca de Xira,2.81
Escola Básica de Paderne,Favorável,Albufeira,2.8
Escola Básica Nuno Gonçalves,Favorável,Lisboa,2.8
Escola Básica de Santiago Maior,Favorável,Beja,2.8
Escola Básica São Bruno,Favorável,Oeiras,2.8
Escola Secundária da Azambuja,Favorável,Azambuja,2.8
Escola Básica Gaspar Correia,Favorável,Loures,2.8
Escola Básica e Secundária Mestre Martins Correia,Favorável,Golegã,2.79
Escola Secundária Padre António Vieira,Favorável,Lisboa,2.79
Escola Básica da Boa Água,Favorável,Sesimbra,2.79
Escola Básica Conde de Vilalva,Favorável,Évora,2.78
Escola Básica Infante D. Fernando,Favorável,Vila Real de Santo António,2.78
Escola Básica D. Fernando II,Favorável,Sintra,2.77
Escola Básica Professora Diamantina Negrão,Favorável,Albufeira,2.76
Escola Secundária de Sampaio,Favorável,Sesimbra,2.76
Escola Secundária Padre António M. Oliveira,Favorável,Lagoa,2.75
Escola Secundária de Campo Maior,Favorável,Campo Maior,2.74
Escola Básica e Secundária Michel Giacometti,Favorável,Sesimbra,2.74
Escola Básica de S. João da Talha,Favorável,Loures,2.73
Escola Básica do Carregado,Favorável,Alenquer,2.73
Escola Secundária de Pinhal do Rei,Favorável,Marinha Grande,2.72
